num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
1805	4826.240611	147.473656	300.000000	2.529532	31.391524
1809	4830.422048	226.728659	-8.677583	3.780874	199.372991
1811	4832.497579	220.518346	-9.056167	3.724070	171.910492
1813	4834.590553	212.906958	-8.232626	3.725128	163.741614
1815	4836.683761	207.428302	-8.232215	3.752674	165.545099
1817	4838.776207	208.356485	-8.416304	3.775298	145.237929
1819	4840.861954	208.518685	-8.604504	3.771406	145.804943
1821	4842.944308	206.572475	-8.083140	3.773658	158.696465
1823	4845.028692	202.201239	-8.624989	3.760790	155.592451
1825	4847.114139	198.875688	-8.450513	3.767408	140.477312
1827	4849.202908	197.616579	-8.076372	3.760653	143.493587
1829	4851.290771	194.494438	-7.953348	3.761906	146.218901
1831	4853.384128	190.232693	-8.555916	3.749111	123.068784
1833	4855.472359	186.902904	-7.754031	3.737638	124.900535
1835	4857.558892	184.772996	-8.183897	3.734402	121.668232
1837	4859.637954	182.652278	-8.063325	3.731061	128.458314
1839	4861.715531	179.397444	-8.510953	3.773578	112.435921
1841	4863.805373	175.997300	-9.103353	3.761852	118.472505
1843	4865.905618	171.593603	-8.660761	3.724436	112.203119
1845	4867.994379	173.292116	-7.474558	3.727337	108.652988
1847	4870.066983	170.472383	-7.951995	3.747005	99.920627
1849	4872.149797	165.700468	-8.694099	3.772394	104.871127
1851	4874.251014	162.348165	-9.036340	3.738749	99.526640
1853	4876.343155	162.378669	-7.568999	3.726568	97.495038
1855	4878.418587	160.492809	-7.760565	3.726340	90.485394
1857	4880.495396	156.558402	-8.846765	3.770826	89.484960
1859	4882.588040	154.571961	-8.519897	3.762074	90.395573
1861	4884.686741	151.619918	-8.650408	3.737876	88.413055
1863	4886.778733	148.192095	-8.591366	3.732512	84.257305
1865	4888.861868	148.992565	-8.030070	3.731867	82.539630
1867	4890.939329	145.485287	-8.118160	3.723893	76.082355
1869	4893.024866	142.525285	-8.185347	3.716616	70.958368
1871	4895.109291	140.128285	-8.216743	3.710352	72.322233
1873	4897.195145	137.419092	-8.071687	3.714288	69.363527
1875	4899.282784	134.309853	-7.955797	3.713116	67.760730
1877	4901.372301	131.807604	-8.169381	3.721476	64.527651
1879	4903.462542	129.869093	-8.195007	3.727688	63.598871
1881	4905.555590	128.092808	-7.673666	3.750840	63.452192
1883	4907.645054	126.697039	-8.652505	3.760954	57.995527
1885	4909.725857	127.411265	-8.240775	3.757798	58.221787
1887	4911.799210	125.889661	-8.273162	3.729353	53.522452
1889	4913.876846	121.465925	-8.241755	3.700795	53.293153
1891	4915.969582	116.350208	-7.614151	3.695953	52.536658
1893	4918.071404	114.709565	-7.535799	3.740239	50.730696
1895	4920.164620	114.778691	-8.014499	3.764851	50.006672
1897	4922.239998	116.124844	-8.182253	3.747650	46.828117
1899	4924.310313	124.526596	-9.071482	6.867877	44.704057
1901	4926.393601	108.481581	-7.731708	3.690268	42.625403
1903	4928.490491	104.660060	-7.420285	3.698412	41.948902
1905	4930.589870	103.943368	-7.330921	3.735182	40.698835
1907	4932.683460	102.272432	-7.880597	3.752117	40.358459
1909	4934.768845	101.829091	-7.473308	3.750315	39.130411
1911	4936.848528	101.066539	-7.492183	3.742705	36.782547
1913	4938.927062	109.584300	-8.562467	0.595182	35.806650
1915	4941.006400	107.052503	-8.525626	0.587350	35.111449
1917	4943.087804	104.782734	-8.547444	0.587436	32.154106
1919	4945.173276	102.357405	-8.080338	6.869767	32.260050
1921	4947.261338	100.460968	-8.193794	6.871856	31.294570
1923	4949.351947	98.137029	-7.929025	6.873381	29.194562
1925	4951.446668	95.570898	-8.073600	6.877491	29.115805
1927	4953.541878	93.874361	-8.013647	6.871152	27.793709
1929	4955.633478	92.451330	-7.895239	6.867544	27.062914
1931	4957.717982	91.316794	-7.821479	6.865546	25.656170
1933	4959.795262	81.023482	-6.578372	3.713788	24.152930
1935	4961.862713	79.927046	-6.169122	3.704379	21.684018
1937	4963.940004	77.751794	-6.303374	3.726843	24.331365
1939	4966.025924	75.174468	-6.827226	3.734320	22.465609
1941	4968.130731	73.058951	-6.892362	3.727092	20.430332
1943	4970.237289	72.098451	-6.315749	3.718080	21.354583
1945	4972.328241	71.157489	-6.275710	-2.573084	20.184599
1947	4974.397317	70.788536	-5.917171	-2.574334	18.807342
1949	4976.467438	69.615752	-5.929604	-2.584939	17.808283
1951	4978.538140	67.851154	-5.981829	-2.564034	17.182556
1953	4980.618045	66.038954	-5.874531	-2.549993	17.030381
1955	4982.709635	64.260814	-5.902552	-2.555633	16.317440
1957	4984.804372	63.459701	-5.809095	-2.566314	15.834591
1959	4986.903230	68.806582	-6.263784	0.587187	16.220739
1961	4988.991062	67.028271	-6.298091	0.587912	15.489948
1963	4991.081145	65.509306	-6.224844	0.590239	14.995106
1965	4993.165739	64.387914	-6.106417	0.593123	15.318417
1967	4995.248394	62.997051	-6.028318	0.593497	15.137402
1969	4997.327677	62.322860	-5.796022	0.586757	12.170919
1971	4999.399131	60.909129	-5.625402	0.581528	12.115526
1973	5001.478103	60.062986	-5.934388	0.586034	12.182685
