num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
831	2517.307416	250.038252	-20.781217	4.809179	65.324447
833	2519.387036	250.322452	-19.015733	4.842647	55.831434
835	2521.470905	255.301811	-14.638681	4.841789	63.019807
837	2523.566105	253.170088	-14.328374	4.784258	71.108383
839	2525.651876	241.559103	-20.098049	4.792156	60.912630
841	2527.730611	248.475154	-16.001762	4.836543	58.686869
843	2529.820252	239.455888	-18.290186	4.799677	65.452302
845	2531.911718	241.180633	-17.441716	4.786238	62.924042
847	2533.995689	238.130155	-17.479759	4.803841	56.124149
849	2536.082386	236.587950	-17.286527	4.819638	58.462188
851	2538.164004	235.968069	-18.716753	4.798910	55.671169
853	2540.245268	228.535766	-16.765891	4.778086	55.371187
855	2542.338607	235.815926	-19.310444	4.821621	56.233310
857	2544.418262	223.375383	-16.286484	4.772887	53.548907
859	2546.508188	229.823943	-20.553199	4.795838	52.577575
861	2548.593285	219.076235	-15.989014	4.802153	51.525545
863	2550.674956	224.352375	-20.273827	4.765932	50.346731
865	2552.765800	215.675819	-17.190967	4.806248	50.268519
867	2554.849214	220.080261	-19.703266	-1.497953	49.007272
869	2556.929868	214.210932	-18.564903	-1.516114	48.076064
871	2559.020034	212.235676	-18.752161	-1.499581	43.877681
873	2561.108243	213.104063	-18.961916	-1.498577	45.504761
875	2563.192965	210.162621	-19.045906	-1.506546	44.999584
877	2565.273951	209.575510	-18.923123	-1.492562	43.493713
879	2567.356028	204.827672	-19.331369	-1.469863	42.318898
881	2569.450699	201.110619	-20.135133	-1.532536	44.238110
883	2571.532780	204.506215	-18.121443	-1.511300	41.950830
885	2573.614335	196.216661	-20.477480	-1.483601	40.942475
887	2575.709972	197.781727	-18.795572	-1.549969	40.368085
889	2577.783091	195.963188	-19.138023	-1.471905	38.875969
891	2579.878135	190.650139	-20.465749	-1.533845	39.593521
893	2581.964209	193.808078	-19.160656	-1.534311	37.720235
895	2584.040989	189.963550	-19.473239	-1.499980	35.166476
897	2586.123744	186.255978	-19.531134	-1.500679	36.412887
899	2588.210166	184.629550	-19.891661	-1.506624	36.116029
901	2590.296511	183.356491	-19.899613	-1.513356	34.640942
903	2592.380445	181.403035	-19.943884	-1.522609	34.594423
905	2594.464129	179.571794	-20.224828	-1.531183	34.055197
907	2596.553822	176.106067	-19.785293	-1.530671	33.171702
909	2598.647103	174.876045	-19.621053	-1.510166	31.897228
911	2600.733218	175.341292	-20.392629	-1.511277	32.421165
913	2602.807618	172.928508	-20.708386	-1.548421	29.746284
915	2604.897553	168.182444	-19.525717	-1.533439	29.528808
917	2606.990816	169.173145	-20.113892	-1.508346	29.854890
919	2609.067557	168.344740	-20.827596	-1.536984	29.499017
921	2611.146816	163.935086	-20.263326	-1.543393	27.746171
923	2613.234622	161.797396	-20.184064	-1.538920	28.118141
925	2615.323006	160.680534	-20.273293	-1.536022	25.888800
927	2617.407827	159.291359	-20.200030	-1.534313	25.071529
929	2619.491123	157.751325	-20.226824	-1.531191	25.344246
931	2621.572503	156.072481	-20.036722	-1.517996	25.032442
933	2623.660301	153.545567	-20.414482	-1.521533	25.096465
935	2625.756134	150.967174	-20.633702	-1.564117	25.463559
937	2627.841898	152.121020	-20.151301	-1.564815	24.112655
939	2629.916349	150.667954	-20.072193	-1.531528	22.993381
941	2631.997139	147.165227	-20.440767	-1.510414	22.229551
943	2634.088700	145.183228	-20.519525	-1.547401	22.554681
945	2636.182051	143.201222	-20.271166	-1.562369	22.579147
947	2638.268487	143.496225	-20.302399	-1.558800	20.451365
949	2640.353370	141.550546	-20.252074	-1.550225	21.076256
951	2642.438331	139.704380	-20.164313	-1.543280	20.451113
953	2644.520167	138.948743	-20.450053	-1.548431	19.891196
955	2646.597642	137.205764	-20.678547	-1.558370	19.429715
957	2648.677186	134.448081	-20.539163	-1.564912	18.944641
959	2650.766580	132.124421	-20.266554	-1.559390	18.456319
961	2652.859003	131.086917	-19.992317	-1.550074	18.347326
963	2654.949063	129.748305	-20.127965	-1.542007	17.776248
965	2657.030424	129.715695	-20.435553	-1.552289	17.734572
967	2659.107450	128.448356	-20.262642	-1.560455	17.255512
969	2661.187435	125.476010	-20.023814	4.723097	16.939439
971	2663.271195	123.849785	-20.053462	4.729559	16.176782
